Collection,CNY/USD,EUR/USD,JPY/USD,GBP/USD
2002/1/1,0.120816677,0.9031,0.00757461,1.4451
2002/2/1,0.120816721,0.8613,0.007475518,1.4158
2002/3/1,0.120816823,0.8652,0.007499063,1.419
2002/4/1,0.120816765,0.8806,0.00750075,1.4407
2002/5/1,0.120816648,0.9062,0.007846214,1.4621
2002/6/1,0.120816823,0.939,0.008084728,1.4622
2002/7/1,0.120816721,0.9893,0.008330556,1.5307
2002/8/1,0.120816765,0.9843,0.008396306,1.5578
2002/9/1,0.120816852,0.9959,0.008538251,1.5625
2002/10/1,0.120816809,0.9859,0.008147967,1.5708
2002/11/1,0.120816604,0.9971,0.008185986,1.5638
2002/12/1,0.120816604,0.9927,0.008025038,1.5555
2003/1/1,0.120816692,1.0361,0.008343067,1.5975
2003/2/1,0.12081659,1.0761,0.008300822,1.6405
2003/3/1,0.120816633,1.0835,0.008479607,1.5755
2003/4/1,0.120816706,1.0904,0.00845666,1.5767
2003/5/1,0.120816925,1.1238,0.008434548,1.6103
2003/6/1,0.12081675,1.1744,0.008437395,1.6372
2003/7/1,0.120816823,1.158,0.008371704,1.6626
2003/8/1,0.120816765,1.1252,0.008333333,1.6045
2003/9/1,0.120816619,1.0872,0.008609557,1.574
2003/10/1,0.120816838,1.1708,0.009040774,1.6667
2003/11/1,0.120816765,1.1454,0.008992806,1.6786
2003/12/1,0.120816809,1.1956,0.009123255,1.7209
2004/1/1,0.120816779,1.2592,0.009350164,1.7902
2004/2/1,0.120816619,1.2426,0.009470594,1.8182
2004/3/1,0.120816663,1.2431,0.009180207,1.868
2004/4/1,0.120864865,1.2358,0.009643202,1.8564
2004/5/1,0.120956368,1.1937,0.009062897,1.772
2004/6/1,0.120744613,1.221,0.009053871,1.8359
2004/7/1,0.120701197,1.2158,0.009238729,1.816
2004/8/1,0.120757604,1.2034,0.009002521,1.8273
2004/9/1,0.120808766,1.2179,0.009122423,1.794
2004/10/1,0.12076405,1.24,0.009053871,1.7976
2004/11/1,0.120809496,1.2741,0.009397613,1.8323
2004/12/1,0.120824633,1.3308,0.009729519,1.9297
2005/1/1,0.120816663,1.3476,0.009724788,1.9058
2005/2/1,0.120816823,1.3017,0.009621861,1.8792
2005/3/1,0.120816736,1.3189,0.009581297,1.9206
2005/4/1,0.120824122,1.2896,0.009296272,1.8789
2005/5/1,0.120823772,1.2857,0.009517465,1.8959
2005/6/1,0.120824078,1.2232,0.009223391,1.812
2005/7/1,0.121641716,1.1957,0.008954155,1.7708
2005/8/1,0.12343119,1.2195,0.008919015,1.7695
2005/9/1,0.123580813,1.2447,0.009077705,1.8279
2005/10/1,0.123620198,1.1914,0.008758868,1.7558
2005/11/1,0.123704321,1.1998,0.008574123,1.763
2005/12/1,0.123828122,1.1702,0.008290499,1.729
2006/1/1,0.123969565,1.198,0.008595496,1.7404
2006/2/1,0.124207417,1.2092,0.008485363,1.7781
2006/3/1,0.124454903,1.1899,0.008607333,1.7473
2006/4/1,0.124756958,1.2124,0.008487523,1.7389
2006/5/1,0.124760429,1.2607,0.008844861,1.8286
2006/6/1,0.124894745,1.2824,0.008894423,1.8686
2006/7/1,0.125150384,1.2793,0.008701706,1.841
2006/8/1,0.125427394,1.2778,0.008698678,1.8711
2006/9/1,0.126050966,1.2833,0.008531695,1.905
2006/10/1,0.126551105,1.2744,0.008499065,1.8861
2006/11/1,0.127176272,1.2771,0.008546278,1.9091
2006/12/1,0.127837955,1.3316,0.008670771,1.9794
2007/1/1,0.128398434,1.3286,0.008415383,1.9736
2007/2/1,0.129030427,1.3021,0.008287064,1.9686
2007/3/1,0.129229805,1.3173,0.008508466,1.9579
2007/4/1,0.129464,1.3374,0.008496899,1.9786
2007/5/1,0.130307251,1.36,0.008349336,1.9993
2007/6/1,0.131021382,1.344,0.008190008,1.9804
2007/7/1,0.132007137,1.3627,0.008175278,2.0161
2007/8/1,0.132047229,1.3682,0.00842389,2.0309
2007/9/1,0.132935378,1.3641,0.008633342,2.0165
2007/10/1,0.133288353,1.4229,0.008627383,2.0436
2007/11/1,0.134762989,1.4435,0.008705493,2.0818
2007/12/1,0.135659606,1.4657,0.00905469,2.0658
2008/1/1,0.138107565,1.4738,0.00911577,1.9824
2008/2/1,0.139549481,1.4851,0.009407338,1.9687
2008/3/1,0.141357401,1.5195,0.009655306,1.985
2008/4/1,0.142877881,1.5615,0.009826078,1.9774
2008/5/1,0.143430064,1.5458,0.009611688,1.9749
2008/6/1,0.14496176,1.555,0.009577627,1.9666
2008/7/1,0.146274234,1.5778,0.009458054,1.993
2008/8/1,0.145946646,1.5567,0.009294544,1.9743
2008/9/1,0.146248799,1.4522,0.009186955,1.7853
2008/10/1,0.146281188,1.4058,0.009428625,1.7804
2008/11/1,0.146430293,1.2719,0.010106114,1.5855
2008/12/1,0.14584656,1.2634,0.01067122,1.484
2009/1/1,0.146288593,1.3946,0.010974539,1.452
2009/2/1,0.146267367,1.2808,0.011128422,1.4228
2009/3/1,0.146278,1.258,0.010291242,1.3989
2009/4/1,0.146379494,1.3223,0.010108157,1.4402
2009/5/1,0.146531869,1.3267,0.010076582,1.4881
2009/6/1,0.146331085,1.4192,0.010359474,1.6448
2009/7/1,0.146372209,1.4186,0.010372368,1.6524
2009/8/1,0.146360126,1.4416,0.010500893,1.6956
2009/9/1,0.146449229,1.4235,0.010742292,1.6168
2009/10/1,0.146476493,1.4532,0.011144545,1.595
2009/11/1,0.146468469,1.4828,0.011042403,1.641
2009/12/1,0.146461862,1.51,0.011544678,1.6626
2010/1/1,0.14647615,1.4419,0.01080497,1.6109
2010/2/1,0.146429993,1.3904,0.011013216,1.5924
2010/3/1,0.146492222,1.3516,0.011200717,1.4974
2010/4/1,0.146501965,1.3569,0.010657572,1.529
2010/5/1,0.146458773,1.3183,0.010561893,1.5242
2010/6/1,0.146655005,1.2266,0.010969724,1.4673
2010/7/1,0.147565298,1.2464,0.01143903,1.5126
2010/8/1,0.147323399,1.3174,0.011571396,1.5897
2010/9/1,0.148293498,1.2813,0.011837121,1.5472
2010/10/1,0.149977743,1.3754,0.012004802,1.5829
2010/11/1,0.150295571,1.3888,0.012397719,1.605
2010/12/1,0.150445665,1.3149,0.011904762,1.5603
2011/1/1,0.151542245,1.3371,0.012260912,1.549
2011/2/1,0.151921519,1.3793,0.01227295,1.6124
2011/3/1,0.1523255,1.3813,0.012215978,1.6309
2011/4/1,0.153185383,1.4215,0.01189768,1.6132
2011/5/1,0.153957998,1.487,0.012310723,1.669
2011/6/1,0.154446929,1.4431,0.012373175,1.6391
2011/7/1,0.15484193,1.4508,0.012374706,1.607
2011/8/1,0.156144944,1.4202,0.013008976,1.6278
2011/9/1,0.156486319,1.4283,0.013019138,1.6179
2011/10/1,0.156987941,1.3281,0.013044613,1.5474
2011/11/1,0.157341161,1.3676,0.012774655,1.5946
2011/12/1,0.157716119,1.3487,0.012886598,1.5698
2012/1/1,0.158409417,1.3061,0.013042911,1.5655
2012/2/1,0.158724666,1.3179,0.013138878,1.5849
2012/3/1,0.158423898,1.332,0.012321341,1.5953
2012/4/1,0.158724616,1.3325,0.012171373,1.6022
2012/5/1,0.158258648,1.3226,0.012473494,1.6221
2012/6/1,0.157215055,1.242,0.012786089,1.5383
2012/7/1,0.156960935,1.2584,0.012591287,1.5679
2012/8/1,0.157231419,1.2299,0.012789359,1.5596
2012/9/1,0.158176141,1.2566,0.012763242,1.5889
2012/10/1,0.159406193,1.29,0.012820513,1.6142
2012/11/1,0.160349408,1.2937,0.012478163,1.6142
2012/12/1,0.160366174,1.3066,0.012159533,1.6104
2013/1/1,0.160680927,1.3195,0.011481056,1.6255
2013/2/1,0.16040692,1.3692,0.010806138,1.5744
2013/3/1,0.160841057,1.2988,0.010708931,1.5033
2013/4/1,0.161684285,1.2857,0.010718114,1.5232
2013/5/1,0.162856795,1.3192,0.010279605,1.5578
2013/6/1,0.163014091,1.3098,0.010082678,1.5349
2013/7/1,0.163024562,1.306,0.010038145,1.5247
2013/8/1,0.163353397,1.3217,0.010070493,1.5145
2013/9/1,0.163397945,1.3164,0.010057327,1.5544
2013/10/1,0.163827482,1.3534,0.010198878,1.6208
2013/11/1,0.164105419,1.3488,0.010123507,1.5922
2013/12/1,0.164611221,1.3552,0.009704969,1.6365
2014/1/1,0.165235971,1.367,0.009538344,1.6441
2014/2/1,0.164441039,1.3523,0.009890219,1.6307
2014/3/1,0.161984714,1.3763,0.009865825,1.6712
2014/4/1,0.160641925,1.3804,0.009659969,1.6639
2014/5/1,0.160312777,1.3867,0.009775171,1.69
2014/6/1,0.160480311,1.3606,0.009775171,1.6756
2014/7/1,0.161296853,1.3681,0.009851246,1.7147
2014/8/1,0.162461038,1.3436,0.009760859,1.6832
2014/9/1,0.16288104,1.3124,0.009514748,1.6502
2014/10/1,0.163235271,1.2618,0.009149131,1.6216
2014/11/1,0.163225839,1.2487,0.00877809,1.5986
2014/12/1,0.161549871,1.249,0.008464534,1.5743
2015/1/1,0.160798176,1.2015,0.008319468,1.5361
2015/2/1,0.159944314,1.1337,0.008522969,1.5027
2015/3/1,0.16026861,1.119,0.008329169,1.5371
2015/4/1,0.161215227,1.0768,0.008359806,1.4823
2015/5/1,0.161202935,1.1194,0.008318775,1.5137
2015/6/1,0.161141059,1.0913,0.008023107,1.5187
2015/7/1,0.161065428,1.1084,0.00812876,1.5617
2015/8/1,0.157746223,1.0962,0.008065817,1.5603
2015/9/1,0.157022354,1.1263,0.008337502,1.5341
2015/10/1,0.15747352,1.12,0.008362602,1.5162
2015/11/1,0.156958816,1.1026,0.008285004,1.5428
2015/12/1,0.154965313,1.062,0.008138021,1.5074
2016/1/1,0.152111243,1.0803,0.00838223,1.4686
2016/2/1,0.152674506,1.0888,0.008260367,1.4367
2016/3/1,0.153685895,1.0847,0.008776549,1.3948
2016/4/1,0.154355432,1.1385,0.008923791,1.4204
2016/5/1,0.153126647,1.1516,0.009391435,1.4666
2016/6/1,0.151688559,1.1165,0.009128252,1.4395
2016/7/1,0.149756017,1.1145,0.009751341,1.3281
2016/8/1,0.150417265,1.1176,0.009778995,1.3209
2016/9/1,0.149857074,1.1194,0.009688045,1.3273
2016/10/1,0.148593797,1.121,0.009848336,1.284
2016/11/1,0.146140374,1.1042,0.009561144,1.2218
2016/12/1,0.144450452,1.0634,0.008745846,1.2596
2017/1/1,0.145021885,1.0416,0.008497621,1.2256
2017/2/1,0.145505298,1.0758,0.008826904,1.2643
2017/3/1,0.144990281,1.0564,0.00879817,1.2318
2017/4/1,0.145113176,1.0655,0.009012257,1.2479
2017/5/1,0.145241131,1.0912,0.008946144,1.2917
2017/6/1,0.146866881,1.1214,0.008989572,1.2894
2017/7/1,0.147640244,1.1367,0.008824568,1.2951
2017/8/1,0.149905979,1.1799,0.009063718,1.3206
2017/9/1,0.152242733,1.1878,0.009083477,1.2972
2017/10/1,0.150926287,1.1745,0.008880995,1.3268
2017/11/1,0.151020901,1.1618,0.008768853,1.3257
2017/12/1,0.151600691,1.191,0.008938148,1.3505
2018/1/1,0.155587537,1.205,0.008914245,1.3596
2018/2/1,0.158166859,1.2482,0.00913242,1.4247
2018/3/1,0.15819243,1.2216,0.009353662,1.3755
2018/4/1,0.158714262,1.2288,0.009434852,1.4032
2018/5/1,0.156881226,1.2,0.009116601,1.3611
2018/6/1,0.154647513,1.1679,0.009133254,1.3358
2018/7/1,0.148853382,1.1604,0.009030976,1.3133
2018/8/1,0.146014178,1.1666,0.008950949,1.312
2018/9/1,0.145861834,1.1566,0.008973439,1.2833
2018/10/1,0.144485244,1.1567,0.008775009,1.3032
2018/11/1,0.144101853,1.1396,0.008866034,1.2974
2018/12/1,0.145211098,1.1356,0.008807469,1.2742
2019/1/1,0.147300505,1.1357,0.009155832,1.2598
2019/2/1,0.148408335,1.1474,0.009128252,1.3094
2019/3/1,0.148975348,1.1376,0.008937349,1.3222
2019/4/1,0.148871066,1.121,0.008985533,1.3144
2019/5/1,0.145752538,1.1246,0.008994423,1.3091
2019/6/1,0.144902861,1.1206,0.009225943,1.2621
2019/7/1,0.145407719,1.1307,0.009223391,1.2644
2019/8/1,0.141589091,1.1062,0.009235316,1.2145
2019/9/1,0.140493184,1.0968,0.009444654,1.2086
2019/10/1,0.140887833,1.0932,0.009285051,1.2242
2019/11/1,0.142461852,1.1169,0.009245562,1.295
2019/12/1,0.142525039,1.1075,0.009166743,1.2936
2020/1/1,0.144475182,1.1166,0.00922254,1.3128
2020/2/1,0.142917883,1.1062,0.009208951,1.3006
2020/3/1,0.142411821,1.1164,0.009257545,1.2791
2020/4/1,0.141324798,1.0934,0.009341429,1.2394
2020/5/1,0.140703891,1.0998,0.009366804,1.2509
2020/6/1,0.141150512,1.1123,0.009297136,1.2472
2020/7/1,0.142660801,1.1259,0.009302326,1.2474
